,CM,GENDER,AGE
297,[2.63158214 3.63595497 3.65204238 ... 0.         4.82648943 4.31420433],F,22
298,[2.20431748 3.79938444 2.80823974 ... 0.         5.30955572 5.80450983],M,31
299,[3.40971964 1.80153558 2.31708186 ... 0.         5.26871475 5.39417392],F,35
300,[1.68838631 3.60300726 0.         ... 0.         5.27543257 4.56631215],F,27
301,[2.60719729 3.95579851 3.17029823 ... 0.         4.5219716  4.90543642],F,34
302,[3.7462778  0.         2.4319031  ... 0.         6.74314692 6.39262725],M,36
303,[3.09585139 4.74081295 4.32845498 ... 0.         0.         5.49424364],F,26
304,[6.25563241 6.15739519 5.91012483 ... 0.         6.54279625 7.01532463],F,31
305,[3.0623899  4.57662032 4.4662224  ... 0.         6.49907257 4.72468811],F,28
306,[0.         4.16491522 2.12631367 ... 0.         4.53240058 4.64308968],F,32
307,[3.61829062 7.13573362 6.99530197 ... 0.         7.46158371 6.81913915],F,27
308,[2.14325686 4.51767912 3.63764537 ... 0.         5.01102671 5.30048171],F,35
309,[0.         0.         0.         ... 0.         7.24402207 5.89892088],F,35
310,[9.65675322 9.55512777 9.92010095 ... 0.         9.53320985 9.56353906],F,34
311,[0. 0. 0. ... 0. 0. 0.],M,28
312,[2.07012091 4.03727701 1.81957007 ... 0.         4.05207539 3.40556677],M,27
313,[3.13923761 6.75416898 3.23405659 ... 0.         6.05220117 6.02811413],M,25
314,[2.89299959 6.23598632 6.14104562 ... 0.         8.40096155 7.73766952],F,30
315,[2.71836701 5.36256151 0.         ... 0.         6.26220496 7.18125103],M,23
316,[4.28322444 5.67229853 4.48446883 ... 0.         5.55451777 6.5257322 ],F,23
317,[2.23634864 3.67332509 3.12820291 ... 0.         5.31513104 4.75599532],F,29
318,[0.         2.72920435 1.53486059 ... 0.         5.81307804 5.21747772],F,25
319,[2.31207728 0.         3.67456849 ... 0.         6.3443642  4.74025989],M,28
320,[0.         3.02910747 0.         ... 0.         4.51022037 4.30999087],M,25
321,[0.         3.99614045 4.33440011 ... 0.         4.70084585 4.60113801],F,26
322,[3.1533315  5.00216214 3.96995183 ... 0.         6.50186789 5.90198722],F,23
323,[3.39090197 4.82067106 3.03186921 ... 0.         3.18474632 4.86587045],F,31
324,[2.49705163 4.06524657 4.4226172  ... 0.         7.49137144 7.26231134],F,24
325,[4.04891841 6.32901744 5.46003805 ... 0.         7.58963386 6.10663366],F,31
326,[1.95263052 5.31823228 0.         ... 0.         5.39675199 5.10011541],F,33
327,[6.9593006  6.44729423 4.51366376 ... 0.         5.68691272 5.74143403],M,26
328,[2.19042838 5.46040711 1.74830628 ... 0.         8.18287587 7.16349452],F,32
329,[0.         6.06140224 5.7529252  ... 0.         6.00748034 6.10970626],F,29
330,[2.31216482 2.31271283 2.3606152  ... 0.         5.99610918 5.20232621],M,25
331,[3.21134793 4.73899095 3.36847421 ... 0.         4.23053848 4.19299506],F,30
332,[4.80772837 5.09488376 2.38105036 ... 0.         5.06867266 5.47530421],M,30
333,[5.43585954 0.         0.         ... 0.         8.64615853 5.99901287],F,31
334,[2.56176408 3.94340435 3.45221613 ... 0.         6.63093763 6.07825356],M,24
335,[5.82182787 3.9024553  3.6418217  ... 0.         7.12336512 7.16432462],M,27
336,[0.         0.         0.         ... 0.         6.91100707 6.98609314],M,22
337,[2.03462223 0.         0.         ... 0.         5.68462996 4.39062125],M,30
338,[4.33214085 6.93551185 4.6052169  ... 0.         7.18191077 7.40655134],F,30
